label,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,Comment,elevation,APC_Diameter_numeric,APC_Depth_numeric,type_score,priority_score,morphology_score,themis_lon_tile,themis_lat_tile,themis_tile,themis_quantitative_product_name
CC0435,234.2015,-0.09424,sky,1,,,skylight,3474.01374530076,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0436,234.1965,-0.08777,sky,1,,,skylight,3470.616921312751,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0439,234.1831,-0.03943,sky,1,,,skylight,3441.378948978293,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0457,234.4155,-0.65698,sky,1,,,skylight,3552.675906251575,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0461,234.3179,-1.01831,sky,1,,,skylight,3556.3124786105136,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0462,234.3457,0.06494,sky,1,,,skylight,3469.7348202142325,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0463,234.3471,0.06494,sky,1,,,skylight,3470.2342366918406,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0464,237.8108,-2.43874,sky,1,,,skylight,5107.816303160974,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0465,238.2277,-2.20355,sky,1,,,skylight with no visible tube,5259.0211070116,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0466,238.222,-2.20309,sky,1,,,skylight with no visible tube,5254.245631875751,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0476,242.3015,-17.15987,sky,1,,,skylight,6348.595847296966,,,5,4,4.6,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0744,234.4674,0.44656,sky,1,,,Channel skylight,3498.8483076275947,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0753,234.7696,-2.49557,sky,1,,,"channel tube intersection, bridge?",3993.315991443646,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0754,234.7678,-2.49548,sky,1,,,"channel tube intersection, bridge?",3992.6220976009154,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0793,235.9332,-2.82233,sky,1,,,tube skylight,4433.8572465877005,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0794,236.1744,-3.21838,sky,1,,,tube skylight,4598.005876125818,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
