label,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,APC_Diameter_numeric,elevation,APC_Depth_numeric,morphology_score,themis_tile,themis_quantitative_product_name,Comment,TI_center_pixel,TI_center_mean_3x3,TI_center_median_3x3,TI_surrounding_mean,TI_surrounding_median,TI_surrounding_std,Delta_TI,Local_TI_zscore,valid_surrounding_pixels,thermal_status,pixel_row,pixel_col,raster_file,thermal_rank_score
APC038,241.5786,-1.85474,APC,1,80,44.0,80.0,6795.896254629443,44.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC ~ squarish pit,187.8204345703125,181.60374450683594,182.26608276367188,175.98366580025515,176.2084197998047,7.921397964308604,6.282416963416722,0.793094475460439,1188,ok,1099,936,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.8673611111111111
APC051,238.8672,-13.6178,APC,1,110,50.0,110.0,9994.48586891234,50.0,4.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,APC nochain b=102,193.18434143066406,199.51651679144965,202.8566436767578,197.50153366242998,197.12820434570312,10.384519073965487,5.355110014327835,0.5156820432593133,1188,ok,8071,34893,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.8621527777777777
APC084,248.5801,-0.45215,APC,1,190,87.0,190.0,8598.844785679366,87.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC -- 7th grd class,186.68978881835938,186.63244798448352,185.2318115234375,179.44873695501977,179.1082992553711,8.994561103764394,5.783074568417732,0.6429523910841415,1188,ok,268,5086,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.8590277777777778
APC096,237.56,-19.46,APC,1,475,124.0,475.0,4918.758528000004,124.0,4.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,"Hayden, 540m nochain",208.2388916015625,220.0160149468316,217.2427520751953,207.94190803039757,208.85298919677734,38.24912241679639,9.300844044797742,0.24316490045045974,1188,ok,11534,34119,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.8534722222222222
APC071,240.02,-13.84,APC,1,140,81.0,140.0,9170.734751999938,81.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC nochain,151.9903564453125,152.32903883192273,153.07913208007812,141.75184570997953,141.4906768798828,8.80357949326621,11.32728637009859,1.2866682670114749,1024,ok,8203,12,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.8371527777777777
CC0299,236.1482,-1.46228,sky,1,,,,4203.025792670121,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight,173.2490692138672,172.2184041341146,173.96006774902344,169.83760394472066,169.80342864990234,7.017127966944281,4.122463804302782,0.5874859092954484,726,ok,866,33282,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.8295138888888889
APC012,244.2749,-1.08203,APC,1,45,48.0,45.0,7445.583566224261,48.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,"APC ~ small deep, faint graben?",172.35760498046875,173.48087904188367,173.77015686035156,166.99930682969014,166.26040649414062,16.759834139764553,6.770850030661421,0.4039926633042766,1188,ok,641,2534,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.8288194444444444
APC006,240.9421,-1.61377,APC,1,40,38.0,40.0,6446.1238035272045,38.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC small deep?,147.6648712158203,148.31712002224393,149.59193420410156,132.70748227052013,146.12870025634766,25.876990670367412,16.88445193358143,0.6524890064947301,1188,ok,956,558,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.8111111111111111
APC024,245.7545,11.83345,APC,1,60,27.0,60.0,2386.385485810375,27.0,4.0,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,50m half-filled APC?,149.8182373046875,148.16008504231772,149.8182373046875,126.8536730583268,149.39617156982422,44.206255639150356,22.964564246360695,0.5194867539521398,1188,ok,10768,3411,THEMIS_TI_Mosaic_Quant_00N240E_100mpp.tif,0.8107638888888888
APC093,239.21,-4.29,APC,1,285,132.0,285.0,6890.809248000087,132.0,4.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,APC,201.08694458007812,201.35644700792102,202.72731018066406,199.7545551980786,198.99411010742188,9.0785853723753,2.9727549825854567,0.32744693811340697,1188,ok,2542,35097,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.8086805555555555
