label,longitude,latitude,TypeCode,Priority,TI_center_median_3x3,TI_surrounding_mean,Delta_TI,Local_TI_zscore,thermal_rank_score,morphology_score,Comment
APC085,247.5515,17.28099,APC,0,171.27049255371094,131.48439960287075,39.786092950840185,0.7638465245602596,0.8864583333333333,4.4,Fanpit B
APC055,252.7008,21.79194,APC,1,212.0172119140625,204.85255468092384,7.164657233138684,0.6131412699875693,0.8836805555555556,4.0,2 Channel edge mystery spots
APC119,236.5708,-6.75638,APC,1,170.52284240722656,149.08561488193294,21.437227525293626,0.8497311584893334,0.8767361111111112,4.0,"APC irregular 250x450 trough, In spread-out chain,"
APC139,250.4644,30.71753,APC,1,356.29803466796875,350.6611203537244,5.636914314244336,0.2391001096451514,0.8763888888888889,4.0,Large ovoid APC 415x310 d=168  Lathrop contrib
APC035,237.9064,-18.10693,APC,1,240.37973022460935,233.4662709348531,6.913459289756275,0.3069750653937088,0.8694444444444445,4.0,"APC, irregular heart shape in AA? ~ questionable, just a dark floor?"
APC038,241.5786,-1.85474,APC,1,182.26608276367188,175.98366580025515,6.282416963416722,0.793094475460439,0.8673611111111111,4.0,APC ~ squarish pit
APC051,238.8672,-13.6178,APC,1,202.8566436767578,197.50153366243,5.355110014327835,0.5156820432593133,0.8621527777777777,4.0,APC nochain b=102
APC084,248.5801,-0.45215,APC,1,185.2318115234375,179.44873695501977,5.783074568417732,0.6429523910841415,0.8590277777777778,4.0,APC -- 7th grd class
APC096,237.56,-19.46,APC,1,217.2427520751953,207.9419080303976,9.300844044797742,0.2431649004504597,0.8534722222222222,4.0,"Hayden, 540m nochain"
APC071,240.02,-13.84,APC,1,153.07913208007812,141.75184570997953,11.32728637009859,1.2866682670114749,0.8371527777777777,4.0,APC nochain
CC0299,236.1482,-1.46228,sky,1,173.96006774902344,169.83760394472066,4.122463804302782,0.5874859092954484,0.8295138888888889,4.6,Skylight
APC012,244.2749,-1.08203,APC,1,173.77015686035156,166.99930682969014,6.770850030661421,0.4039926633042766,0.8288194444444444,4.0,"APC ~ small deep, faint graben?"
APC006,240.9421,-1.61377,APC,1,149.59193420410156,132.70748227052013,16.88445193358143,0.6524890064947301,0.8111111111111111,4.0,APC small deep?
APC024,245.7545,11.83345,APC,1,149.8182373046875,126.8536730583268,22.96456424636069,0.5194867539521398,0.8107638888888888,4.0,50m half-filled APC?
APC093,239.21,-4.29,APC,1,202.7273101806641,199.7545551980786,2.9727549825854567,0.3274469381134069,0.8086805555555555,4.0,APC
CC0348,236.3306,0.59424,sky,0,154.12388610839844,149.51252818508982,4.611357923308617,0.6836856838023565,0.8006944444444445,5.0,Skylight
APC033,240.4639,-0.95215,APC,1,151.5234375,146.9472959306505,4.576141569349488,0.6866190034662386,0.7940972222222222,4.0,"APC -- deep, ~70m"
APC009,244.2588,-1.28809,APC,1,155.44166564941406,151.36475301029705,4.076912639117012,0.5223079148410283,0.7875,4.0,APC ~ small deep
CC0353,236.5744,-1.49963,sky,1,147.789306640625,143.0067271736736,4.782579466951404,0.684431530632756,0.7791666666666667,4.6,skylight
APC001,240.4585,-0.94678,APC,1,151.05911254882812,147.18981150103738,3.869301047790742,0.564190893983745,0.773263888888889,4.0,APC -- tiny ~25m
CC0093,255.9496,8.86151,lat,0,131.21975708007812,117.11822897015196,14.101528109926164,1.6172539893043876,0.7697916666666665,3.8,lateral candidate - overhanging ledge
APC083,239.53,-13.38,APC,1,130.8139190673828,114.44396825591322,16.369950811469593,0.8401709870275208,0.7600694444444445,4.0,APC
CC0900,232.8984,0.37378,sky,0,148.43182373046875,144.93535145204075,3.4964722784280013,0.5509532261185773,0.7552083333333333,5.0,Cave / natural bridge near Biblis Patera
APC056,237.0503,-0.33545,APC,1,174.71429443359375,172.87458945123436,1.8397049823593927,0.2182156241719945,0.7451388888888889,4.0,APC deep super pair
APC082,239.02,-6.31,APC,1,165.6052703857422,163.24205622046884,2.363214165273348,0.2518833758562868,0.740625,4.0,APC
APC005,240.8867,-5.68445,APC,1,139.35208129882812,135.01862884932495,4.33345244950317,0.6027313566987049,0.7402777777777778,4.0,APC deep pair
CC0790,235.968,-2.86755,sky,0,125.84309387207033,118.7774803277218,7.065613544348508,1.137631355614792,0.728125,5.0,tube skylight
CC0323,236.7699,-0.46796,sky,1,145.03793334960938,141.94427863997643,3.0936547096329434,0.4634402004459258,0.726736111111111,4.6,skylight
APC020,240.5234,-1.05363,APC,1,146.9368438720703,144.243334555064,2.693509317006317,0.4103388328076241,0.7180555555555556,4.0,CTX images not very clear.
APC065,239.95,-13.92,APC,1,143.480712890625,140.118732767073,3.361980123552001,0.3894489922781216,0.7177083333333333,4.0,APC nochain
APC057,238.309,-14.36212,APC,1,144.95184326171875,141.81095077694465,3.140892484774099,0.3141228006897776,0.7111111111111111,4.0,APC 144m  dark material inside? possible vent
