label,region,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,elevation,TI_center_median_3x3,TI_surrounding_mean,Delta_TI,Local_TI_zscore,thermal_rank_score,morphology_score,score_TI_absolute,score_Delta_TI_positive,score_TI_zscore,score_type_mission,score_priority,score_geometry,mission_candidate_score,thermal_interpretation,mission_relevance,Comment
APC024,Ascraeus / North Tharsis,245.7545,11.83345,APC,1,60,27.0,2386.385485810375,149.8182373046875,126.8536730583268,22.96456424636069,0.5194867539521398,0.8107638888888888,4.0,0.7152777777777778,0.9618055555555556,0.8229166666666666,0.9,0.6666666666666667,0.592687074829932,0.8036437074829932,Moderate positive local thermal anomaly,large collapse/cavity candidate; positive thermal anomaly,50m half-filled APC?
APC033,Pavonis / Central Tharsis,240.4639,-0.95215,APC,1,70,89.0,5853.475507157115,151.5234375,146.9472959306505,4.576141569349488,0.6866190034662386,0.7940972222222222,4.0,0.7326388888888888,0.8263888888888888,0.8993055555555556,0.9,0.6666666666666667,0.7659863945578231,0.8029180839002268,Thermally average but morphologically relevant,large collapse/cavity candidate; deep candidate,"APC -- deep, ~70m"
CC0299,Pavonis / Central Tharsis,236.1482,-1.46228,sky,1,,,4203.025792670121,173.96006774902344,169.83760394472066,4.122463804302782,0.5874859092954484,0.8295138888888889,4.6,0.8263888888888888,0.8159722222222222,0.8576388888888888,1.0,0.6666666666666667,0.27814625850340136,0.7837174036281179,High absolute thermal inertia,direct skylight/access candidate,Skylight
CC0093,Ascraeus / North Tharsis,255.9496,8.86151,lat,0,,,7993.359018929486,131.21975708007812,117.11822897015196,14.101528109926164,1.6172539893043876,0.7697916666666665,3.8,0.5972222222222222,0.9201388888888888,0.9756944444444444,0.85,1.0,0.27814625850340136,0.7810090702947845,Moderate positive local thermal anomaly,possible lateral access; positive thermal anomaly,lateral candidate - overhanging ledge
APC009,Pavonis / Central Tharsis,244.2588,-1.28809,APC,1,40,45.0,7473.616109916817,155.44166564941406,151.36475301029705,4.076912639117012,0.5223079148410283,0.7875,4.0,0.7569444444444444,0.8125,0.8263888888888888,0.9,0.6666666666666667,0.6129251700680272,0.7792786281179138,Thermally average but morphologically relevant,large collapse/cavity candidate,APC ~ small deep
CC0790,Pavonis / Central Tharsis,235.968,-2.86755,sky,0,,,4453.576426543431,125.84309387207033,118.7774803277218,7.065613544348508,1.137631355614792,0.728125,5.0,0.5451388888888888,0.8819444444444444,0.9548611111111112,1.0,1.0,0.27814625850340136,0.7778146258503401,Thermally average but morphologically relevant,direct skylight/access candidate,tube skylight
APC092,Ascraeus / North Tharsis,247.5439,17.27168,APC,1,275,167.0,2152.3130127767217,134.7784881591797,130.53992428121342,4.238563877966271,0.0770524827053894,0.6694444444444445,4.0,0.6180555555555556,0.8194444444444444,0.5729166666666666,0.9,0.6666666666666667,0.9736394557823129,0.744343112244898,Thermally average but morphologically relevant,large collapse/cavity candidate; large aperture/structure; deep candidate,Fanpit A
APC130,Elysium / Cerberus,122.0461,21.52222,APC,1,110,41.0,-3801.719962321591,151.9966278076172,151.33065863329955,0.6659691743176381,0.0348218225481925,0.6493055555555556,4.0,0.7361111111111112,0.5763888888888888,0.5416666666666666,0.9,0.6666666666666667,0.6946428571428571,0.6805059523809525,Thermally average but morphologically relevant,large collapse/cavity candidate,collapse pit kinda like an APC
APC111,Elysium / Cerberus,142.1093,29.26669,APC,1,160,55.0,-221.77781927783343,88.62703704833984,83.32184546884864,5.305191579491208,0.6697991502722273,0.5288194444444444,4.0,0.1909722222222222,0.8541666666666666,0.8854166666666666,0.9,0.6666666666666667,0.8041666666666667,0.6761805555555556,Thermally average but morphologically relevant,large collapse/cavity candidate; large aperture/structure,near Elysium ~160m
CC0865,Kasei / NW,289.3141,38.11926,pit,0,,,515.3294220438895,126.72943878173828,124.88411817325888,1.845320608479412,0.1616709030157188,0.6065972222222222,3.8,0.5590277777777778,0.6736111111111112,0.625,0.75,1.0,0.27814625850340136,0.6422243480725622,Thermally average but morphologically relevant,candidate retained by combined score,Deep dark small pit
